Year,Locationabbr,Locationdesc,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,GeoLocation
2014,AR,Arkansas,Overweight (BMI 25.0-29.9),25-34,Age Group,111,33.9,"(34.748650124, -92.274490743)"
2014,NE,Nebraska,Overweight (BMI 25.0-29.9),65+,Age Group,3006,40.7,"(41.641040988001, -99.365720623)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),65+,Age Group,105,35.3,"(13.444304, 144.793731)"
2014,TN,Tennessee,Obese (BMI 30.0 - 99.8),55-64,Age Group,405,38.0,"(35.68094058, -85.774490914)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),35-44,Age Group,235,33.5,"(18.220833, -66.590149)"
2014,TX,Texas,Obese (BMI 30.0 - 99.8),45-54,Age Group,802,36.5,"(31.827240407, -99.426770206)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),35-44,Age Group,142,30.5,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),45-54,Age Group,319,33.8,"(18.220833, -66.590149)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),18-24,Age Group,80,33.2,"(13.444304, 144.793731)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),55-64,Age Group,142,39.0,"(13.444304, 144.793731)"
2014,VA,Virginia,Obese (BMI 30.0 - 99.8),45-54,Age Group,544,33.4,"(37.542680674, -78.457890463)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),35-44,Age Group,287,38.0,"(18.220833, -66.590149)"
2014,UT,Utah,Overweight (BMI 25.0-29.9),45-54,Age Group,826,35.7,"(39.360700171, -111.587130635)"
2014,HI,Hawaii,Overweight (BMI 25.0-29.9),18-24,Age Group,134,27.0,"(21.304850435, -157.857749403)"
2014,WI,Wisconsin,Overweight (BMI 25.0-29.9),35-44,Age Group,280,36.9,"(44.393191174, -89.816370742)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),65+,Age Group,784,41.8,"(18.220833, -66.590149)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),55-64,Age Group,374,35.2,"(18.220833, -66.590149)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),25-34,Age Group,148,29.0,"(13.444304, 144.793731)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),45-54,Age Group,139,29.4,"(13.444304, 144.793731)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),18-24,Age Group,60,18.7,"(13.444304, 144.793731)"
2014,MN,Minnesota,Obese (BMI 30.0 - 99.8),45-54,Age Group,886,31.5,"(46.355648736, -94.794200503)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),55-64,Age Group,102,26.0,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),25-34,Age Group,160,25.1,"(18.220833, -66.590149)"
2014,RI,Rhode Island,Overweight (BMI 25.0-29.9),65+,Age Group,818,41.2,"(41.708280193, -71.522470314)"
2014,NE,Nebraska,Overweight (BMI 25.0-29.9),35-44,Age Group,885,36.4,"(41.641040988001, -99.365720623)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),18-24,Age Group,103,24.0,"(18.220833, -66.590149)"
2014,PA,Pennsylvania,Overweight (BMI 25.0-29.9),65+,Age Group,1516,40.5,"(40.793730152, -77.860700294)"
2014,NJ,New Jersey,Obese (BMI 30.0 - 99.8),25-34,Age Group,271,24.4,"(40.130570048, -74.273691288)"
2014,ND,North Dakota,Obese (BMI 30.0 - 99.8),65+,Age Group,761,29.9,"(47.475319779, -100.118421049)"
2014,WI,Wisconsin,Obese (BMI 30.0 - 99.8),18-24,Age Group,71,16.7,"(44.393191174, -89.816370742)"
2014,MD,Maryland,Overweight (BMI 25.0-29.9),45-54,Age Group,747,35.8,"(39.290580964, -76.609260111)"
2014,NV,Nevada,Overweight (BMI 25.0-29.9),18-24,Age Group,51,29.5,"(39.49324039, -117.071840564)"
2014,NY,New York,Obese (BMI 30.0 - 99.8),45-54,Age Group,375,34.1,"(42.827001032, -75.543970427)"
2014,KS,Kansas,Overweight (BMI 25.0-29.9),45-54,Age Group,731,36.5,"(38.3477403, -98.200781227)"
2014,TX,Texas,Overweight (BMI 25.0-29.9),45-54,Age Group,800,36.6,"(31.827240407, -99.426770206)"
2014,AK,Alaska,Obese (BMI 30.0 - 99.8),35-44,Age Group,196,33.6,"(64.845079957001, -147.722059036)"
2014,MN,Minnesota,Overweight (BMI 25.0-29.9),25-34,Age Group,619,35.9,"(46.355648736, -94.794200503)"
2014,MD,Maryland,Obese (BMI 30.0 - 99.8),55-64,Age Group,958,33.6,"(39.290580964, -76.609260111)"
2014,SC,South Carolina,Overweight (BMI 25.0-29.9),55-64,Age Group,808,35.6,"(33.998821303, -81.045371207)"
2014,WI,Wisconsin,Obese (BMI 30.0 - 99.8),35-44,Age Group,265,36.4,"(44.393191174, -89.816370742)"
2014,IL,Illinois,Overweight (BMI 25.0-29.9),18-24,Age Group,76,21.2,"(40.485010283, -88.997710178)"
2014,MI,Michigan,Overweight (BMI 25.0-29.9),65+,Age Group,1072,39.9,"(44.661319543001, -84.71439027)"
2014,ND,North Dakota,Overweight (BMI 25.0-29.9),35-44,Age Group,290,35.1,"(47.475319779, -100.118421049)"
2014,HI,Hawaii,Obese (BMI 30.0 - 99.8),25-34,Age Group,228,25.9,"(21.304850435, -157.857749403)"
2014,OH,Ohio,Overweight (BMI 25.0-29.9),18-24,Age Group,116,27.7,"(40.060210141, -82.404260056)"
2014,MN,Minnesota,Obese (BMI 30.0 - 99.8),18-24,Age Group,170,16.2,"(46.355648736, -94.794200503)"
2014,CT,Connecticut,Obese (BMI 30.0 - 99.8),35-44,Age Group,215,26.8,"(41.56266102, -72.649840952)"
2014,FL,Florida,Overweight (BMI 25.0-29.9),45-54,Age Group,484,37.5,"(28.932040377, -81.928960539)"
2014,NV,Nevada,Obese (BMI 30.0 - 99.8),45-54,Age Group,155,28.9,"(39.49324039, -117.071840564)"
2014,MN,Minnesota,Overweight (BMI 25.0-29.9),55-64,Age Group,1301,38.8,"(46.355648736, -94.794200503)"
2014,AK,Alaska,Overweight (BMI 25.0-29.9),35-44,Age Group,211,35.9,"(64.845079957001, -147.722059036)"
2014,OR,Oregon,Obese (BMI 30.0 - 99.8),35-44,Age Group,135,29.4,"(44.567449424, -120.155031326)"
2014,AL,Alabama,Overweight (BMI 25.0-29.9),45-54,Age Group,437,33.5,"(32.840571122, -86.631860762)"
2014,WA,Washington,Obese (BMI 30.0 - 99.8),55-64,Age Group,695,33.6,"(47.522278629, -120.47001079)"
2014,ID,Idaho,Overweight (BMI 25.0-29.9),18-24,Age Group,75,24.1,"(43.682630005, -114.363730042)"
2014,WI,Wisconsin,Overweight (BMI 25.0-29.9),55-64,Age Group,589,39.2,"(44.393191174, -89.816370742)"
2014,HI,Hawaii,Overweight (BMI 25.0-29.9),55-64,Age Group,591,40.2,"(21.304850435, -157.857749403)"
2014,NV,Nevada,Overweight (BMI 25.0-29.9),55-64,Age Group,285,41.9,"(39.49324039, -117.071840564)"
2014,CT,Connecticut,Obese (BMI 30.0 - 99.8),45-54,Age Group,412,30.8,"(41.56266102, -72.649840952)"
2014,GA,Georgia,Overweight (BMI 25.0-29.9),25-34,Age Group,150,31.0,"(32.839681093, -83.627580346)"
2014,FL,Florida,Overweight (BMI 25.0-29.9),65+,Age Group,1572,39.5,"(28.932040377, -81.928960539)"
2014,AZ,Arizona,Obese (BMI 30.0 - 99.8),18-24,Age Group,72,16.6,"(34.86597028, -111.763811277)"
2014,NV,Nevada,Overweight (BMI 25.0-29.9),35-44,Age Group,158,33.5,"(39.49324039, -117.071840564)"
2014,DE,Delaware,Overweight (BMI 25.0-29.9),35-44,Age Group,152,39.1,"(39.008830667, -75.577741168)"
2014,MO,Missouri,Obese (BMI 30.0 - 99.8),45-54,Age Group,351,34.2,"(38.635790776, -92.566300053)"
2014,DC,District of Columbia,Overweight (BMI 25.0-29.9),25-34,Age Group,111,32.4,"(38.890371385, -77.031961127)"
2014,TX,Texas,Overweight (BMI 25.0-29.9),65+,Age Group,1851,38.7,"(31.827240407, -99.426770206)"
2014,NJ,New Jersey,Overweight (BMI 25.0-29.9),25-34,Age Group,384,36.2,"(40.130570048, -74.273691288)"
2014,ND,North Dakota,Overweight (BMI 25.0-29.9),65+,Age Group,1070,40.8,"(47.475319779, -100.118421049)"
2014,WA,Washington,Obese (BMI 30.0 - 99.8),45-54,Age Group,466,31.0,"(47.522278629, -120.47001079)"
2014,MO,Missouri,Overweight (BMI 25.0-29.9),18-24,Age Group,68,22.6,"(38.635790776, -92.566300053)"
2014,NM,New Mexico,Obese (BMI 30.0 - 99.8),25-34,Age Group,246,33.2,"(34.520880952, -106.240580985)"
2014,KY,Kentucky,Overweight (BMI 25.0-29.9),25-34,Age Group,237,32.0,"(37.645970271, -84.774971048)"
2014,TX,Texas,Overweight (BMI 25.0-29.9),55-64,Age Group,1031,36.1,"(31.827240407, -99.426770206)"
2014,OK,Oklahoma,Obese (BMI 30.0 - 99.8),55-64,Age Group,701,40.0,"(35.472031356, -97.521070214)"
2014,ID,Idaho,Overweight (BMI 25.0-29.9),55-64,Age Group,436,40.0,"(43.682630005, -114.363730042)"
2014,ND,North Dakota,Overweight (BMI 25.0-29.9),25-34,Age Group,219,36.7,"(47.475319779, -100.118421049)"
2014,NC,North Carolina,Obese (BMI 30.0 - 99.8),18-24,Age Group,67,18.0,"(35.466220975, -79.159250463)"
2014,AZ,Arizona,Overweight (BMI 25.0-29.9),65+,Age Group,2415,40.1,"(34.86597028, -111.763811277)"
2014,KY,Kentucky,Overweight (BMI 25.0-29.9),35-44,Age Group,376,31.6,"(37.645970271, -84.774971048)"
2014,IN,Indiana,Obese (BMI 30.0 - 99.8),25-34,Age Group,252,32.0,"(39.766910452, -86.149960194)"
2014,DE,Delaware,Obese (BMI 30.0 - 99.8),18-24,Age Group,33,17.4,"(39.008830667, -75.577741168)"
2014,DE,Delaware,Overweight (BMI 25.0-29.9),55-64,Age Group,369,40.2,"(39.008830667, -75.577741168)"
2014,MI,Michigan,Obese (BMI 30.0 - 99.8),25-34,Age Group,185,29.1,"(44.661319543001, -84.71439027)"
2014,RI,Rhode Island,Overweight (BMI 25.0-29.9),18-24,Age Group,45,22.7,"(41.708280193, -71.522470314)"
2014,OR,Oregon,Overweight (BMI 25.0-29.9),35-44,Age Group,161,36.5,"(44.567449424, -120.155031326)"
2014,AR,Arkansas,Overweight (BMI 25.0-29.9),35-44,Age Group,133,36.9,"(34.748650124, -92.274490743)"
2014,WY,Wyoming,Obese (BMI 30.0 - 99.8),25-34,Age Group,91,25.4,"(43.235541343, -108.109830353)"
2014,MI,Michigan,Overweight (BMI 25.0-29.9),35-44,Age Group,285,35.9,"(44.661319543001, -84.71439027)"
2014,MI,Michigan,Overweight (BMI 25.0-29.9),25-34,Age Group,224,35.0,"(44.661319543001, -84.71439027)"
2014,OK,Oklahoma,Overweight (BMI 25.0-29.9),25-34,Age Group,248,32.1,"(35.472031356, -97.521070214)"
2014,WA,Washington,Overweight (BMI 25.0-29.9),55-64,Age Group,795,37.4,"(47.522278629, -120.47001079)"
2014,CT,Connecticut,Obese (BMI 30.0 - 99.8),55-64,Age Group,465,31.7,"(41.56266102, -72.649840952)"
2014,VT,Vermont,Obese (BMI 30.0 - 99.8),45-54,Age Group,311,26.8,"(43.625381239, -72.517640791)"
2014,WV,West Virginia,Obese (BMI 30.0 - 99.8),65+,Age Group,567,30.8,"(38.665510202, -80.712640135)"
2014,CT,Connecticut,Obese (BMI 30.0 - 99.8),25-34,Age Group,153,25.0,"(41.56266102, -72.649840952)"
2014,SC,South Carolina,Obese (BMI 30.0 - 99.8),45-54,Age Group,639,38.0,"(33.998821303, -81.045371207)"
2014,WV,West Virginia,Obese (BMI 30.0 - 99.8),18-24,Age Group,61,20.6,"(38.665510202, -80.712640135)"
2014,WV,West Virginia,Overweight (BMI 25.0-29.9),55-64,Age Group,507,37.4,"(38.665510202, -80.712640135)"
2014,OH,Ohio,Obese (BMI 30.0 - 99.8),18-24,Age Group,76,15.8,"(40.060210141, -82.404260056)"
2014,CA,California,Overweight (BMI 25.0-29.9),65+,Age Group,745,35.4,"(37.638640123, -120.999999538)"
2014,MA,Massachusetts,Overweight (BMI 25.0-29.9),55-64,Age Group,1263,39.0,"(42.27687047, -72.082690675)"
2014,ID,Idaho,Obese (BMI 30.0 - 99.8),18-24,Age Group,51,18.9,"(43.682630005, -114.363730042)"
2014,SD,South Dakota,Obese (BMI 30.0 - 99.8),45-54,Age Group,405,33.4,"(44.353130053, -100.373530637)"
2014,VA,Virginia,Obese (BMI 30.0 - 99.8),35-44,Age Group,362,29.8,"(37.542680674, -78.457890463)"
2014,CO,Colorado,Obese (BMI 30.0 - 99.8),18-24,Age Group,70,10.9,"(38.843840757, -106.133610921)"
2014,WY,Wyoming,Overweight (BMI 25.0-29.9),18-24,Age Group,28,20.3,"(43.235541343, -108.109830353)"
2014,NM,New Mexico,Overweight (BMI 25.0-29.9),18-24,Age Group,125,24.8,"(34.520880952, -106.240580985)"
2014,MS,Mississippi,Obese (BMI 30.0 - 99.8),18-24,Age Group,40,22.0,"(32.745510099, -89.538030825)"
2014,GA,Georgia,Overweight (BMI 25.0-29.9),65+,Age Group,785,39.3,"(32.839681093, -83.627580346)"
2014,NE,Nebraska,Overweight (BMI 25.0-29.9),55-64,Age Group,1732,38.4,"(41.641040988001, -99.365720623)"
2014,AZ,Arizona,Obese (BMI 30.0 - 99.8),45-54,Age Group,644,34.8,"(34.86597028, -111.763811277)"
2014,IN,Indiana,Overweight (BMI 25.0-29.9),18-24,Age Group,139,24.8,"(39.766910452, -86.149960194)"
2014,OH,Ohio,Overweight (BMI 25.0-29.9),45-54,Age Group,565,34.3,"(40.060210141, -82.404260056)"
2014,CA,California,Obese (BMI 30.0 - 99.8),35-44,Age Group,302,28.1,"(37.638640123, -120.999999538)"
2014,MD,Maryland,Obese (BMI 30.0 - 99.8),45-54,Age Group,707,35.6,"(39.290580964, -76.609260111)"
2014,DE,Delaware,Overweight (BMI 25.0-29.9),25-34,Age Group,108,34.9,"(39.008830667, -75.577741168)"
2014,KS,Kansas,Obese (BMI 30.0 - 99.8),55-64,Age Group,1077,38.4,"(38.3477403, -98.200781227)"
2014,MN,Minnesota,Overweight (BMI 25.0-29.9),45-54,Age Group,1064,37.9,"(46.355648736, -94.794200503)"
2014,AR,Arkansas,Obese (BMI 30.0 - 99.8),65+,Age Group,627,29.2,"(34.748650124, -92.274490743)"
2014,HI,Hawaii,Obese (BMI 30.0 - 99.8),55-64,Age Group,359,23.9,"(21.304850435, -157.857749403)"
2014,NJ,New Jersey,Obese (BMI 30.0 - 99.8),18-24,Age Group,79,13.3,"(40.130570048, -74.273691288)"
2014,KY,Kentucky,Obese (BMI 30.0 - 99.8),25-34,Age Group,223,29.7,"(37.645970271, -84.774971048)"
2014,AR,Arkansas,Obese (BMI 30.0 - 99.8),55-64,Age Group,433,39.3,"(34.748650124, -92.274490743)"
2014,NJ,New Jersey,Obese (BMI 30.0 - 99.8),35-44,Age Group,438,29.4,"(40.130570048, -74.273691288)"
2014,CA,California,Overweight (BMI 25.0-29.9),55-64,Age Group,559,36.3,"(37.638640123, -120.999999538)"
2014,MA,Massachusetts,Overweight (BMI 25.0-29.9),18-24,Age Group,176,28.3,"(42.27687047, -72.082690675)"
2014,HI,Hawaii,Obese (BMI 30.0 - 99.8),35-44,Age Group,234,28.0,"(21.304850435, -157.857749403)"
2014,LA,Louisiana,Overweight (BMI 25.0-29.9),25-34,Age Group,216,30.7,"(31.312660644, -92.445680071)"
2014,WV,West Virginia,Overweight (BMI 25.0-29.9),25-34,Age Group,144,29.3,"(38.665510202, -80.712640135)"
2014,ID,Idaho,Obese (BMI 30.0 - 99.8),45-54,Age Group,238,33.1,"(43.682630005, -114.363730042)"
2014,IN,Indiana,Obese (BMI 30.0 - 99.8),35-44,Age Group,405,35.5,"(39.766910452, -86.149960194)"
2014,PA,Pennsylvania,Overweight (BMI 25.0-29.9),18-24,Age Group,107,18.6,"(40.793730152, -77.860700294)"
2014,UT,Utah,Overweight (BMI 25.0-29.9),55-64,Age Group,948,38.4,"(39.360700171, -111.587130635)"
2014,MA,Massachusetts,Obese (BMI 30.0 - 99.8),25-34,Age Group,226,18.6,"(42.27687047, -72.082690675)"
2014,MO,Missouri,Obese (BMI 30.0 - 99.8),35-44,Age Group,239,34.4,"(38.635790776, -92.566300053)"
2014,LA,Louisiana,Obese (BMI 30.0 - 99.8),45-54,Age Group,434,38.5,"(31.312660644, -92.445680071)"
2014,VT,Vermont,Overweight (BMI 25.0-29.9),35-44,Age Group,253,33.1,"(43.625381239, -72.517640791)"
2014,NC,North Carolina,Obese (BMI 30.0 - 99.8),35-44,Age Group,281,33.3,"(35.466220975, -79.159250463)"
2014,PA,Pennsylvania,Overweight (BMI 25.0-29.9),25-34,Age Group,253,29.5,"(40.793730152, -77.860700294)"
2014,ME,Maine,Overweight (BMI 25.0-29.9),35-44,Age Group,328,38.5,"(45.254228894001, -68.985031336)"
2014,MI,Michigan,Overweight (BMI 25.0-29.9),18-24,Age Group,119,20.8,"(44.661319543001, -84.71439027)"
2014,MT,Montana,Overweight (BMI 25.0-29.9),55-64,Age Group,621,37.7,"(47.066528972, -109.424420645)"
2014,WV,West Virginia,Obese (BMI 30.0 - 99.8),55-64,Age Group,540,40.3,"(38.665510202, -80.712640135)"
2014,IA,Iowa,Overweight (BMI 25.0-29.9),45-54,Age Group,467,38.5,"(42.469400913, -93.816490556)"
2014,UT,Utah,Obese (BMI 30.0 - 99.8),55-64,Age Group,794,32.5,"(39.360700171, -111.587130635)"
2014,OK,Oklahoma,Obese (BMI 30.0 - 99.8),65+,Age Group,814,28.9,"(35.472031356, -97.521070214)"
2014,MN,Minnesota,Overweight (BMI 25.0-29.9),65+,Age Group,1701,40.6,"(46.355648736, -94.794200503)"
2014,LA,Louisiana,Overweight (BMI 25.0-29.9),18-24,Age Group,107,26.5,"(31.312660644, -92.445680071)"
2014,WY,Wyoming,Obese (BMI 30.0 - 99.8),65+,Age Group,615,24.7,"(43.235541343, -108.109830353)"
2014,CO,Colorado,Obese (BMI 30.0 - 99.8),45-54,Age Group,514,24.7,"(38.843840757, -106.133610921)"
2014,MD,Maryland,Obese (BMI 30.0 - 99.8),18-24,Age Group,41,11.5,"(39.290580964, -76.609260111)"
2014,MO,Missouri,Overweight (BMI 25.0-29.9),65+,Age Group,1052,40.4,"(38.635790776, -92.566300053)"
2014,SC,South Carolina,Overweight (BMI 25.0-29.9),18-24,Age Group,149,27.9,"(33.998821303, -81.045371207)"
2014,MT,Montana,Overweight (BMI 25.0-29.9),18-24,Age Group,89,24.5,"(47.066528972, -109.424420645)"
2014,IL,Illinois,Obese (BMI 30.0 - 99.8),35-44,Age Group,191,35.0,"(40.485010283, -88.997710178)"
2014,OK,Oklahoma,Overweight (BMI 25.0-29.9),35-44,Age Group,330,37.1,"(35.472031356, -97.521070214)"
2014,ND,North Dakota,Obese (BMI 30.0 - 99.8),25-34,Age Group,188,32.0,"(47.475319779, -100.118421049)"
2014,IN,Indiana,Overweight (BMI 25.0-29.9),35-44,Age Group,412,34.5,"(39.766910452, -86.149960194)"
2014,KY,Kentucky,Overweight (BMI 25.0-29.9),55-64,Age Group,931,39.3,"(37.645970271, -84.774971048)"
2014,NC,North Carolina,Overweight (BMI 25.0-29.9),55-64,Age Group,541,39.1,"(35.466220975, -79.159250463)"
2014,MI,Michigan,Overweight (BMI 25.0-29.9),45-54,Age Group,483,36.9,"(44.661319543001, -84.71439027)"
2014,PA,Pennsylvania,Overweight (BMI 25.0-29.9),55-64,Age Group,935,39.1,"(40.793730152, -77.860700294)"
2014,ME,Maine,Obese (BMI 30.0 - 99.8),25-34,Age Group,178,29.0,"(45.254228894001, -68.985031336)"
2014,VA,Virginia,Overweight (BMI 25.0-29.9),35-44,Age Group,404,36.5,"(37.542680674, -78.457890463)"
2014,MS,Mississippi,Overweight (BMI 25.0-29.9),55-64,Age Group,357,40.9,"(32.745510099, -89.538030825)"
2014,ME,Maine,Obese (BMI 30.0 - 99.8),65+,Age Group,819,25.9,"(45.254228894001, -68.985031336)"
2014,NH,New Hampshire,Overweight (BMI 25.0-29.9),18-24,Age Group,47,19.7,"(43.655950113, -71.50036092)"
2014,DC,District of Columbia,Overweight (BMI 25.0-29.9),55-64,Age Group,305,35.1,"(38.890371385, -77.031961127)"
2014,GA,Georgia,Overweight (BMI 25.0-29.9),55-64,Age Group,468,37.6,"(32.839681093, -83.627580346)"
2014,VA,Virginia,Overweight (BMI 25.0-29.9),18-24,Age Group,110,27.0,"(37.542680674, -78.457890463)"
2014,AR,Arkansas,Obese (BMI 30.0 - 99.8),35-44,Age Group,163,38.0,"(34.748650124, -92.274490743)"
2014,VA,Virginia,Obese (BMI 30.0 - 99.8),65+,Age Group,720,26.9,"(37.542680674, -78.457890463)"
2014,TN,Tennessee,Overweight (BMI 25.0-29.9),25-34,Age Group,113,31.3,"(35.68094058, -85.774490914)"
2014,NM,New Mexico,Obese (BMI 30.0 - 99.8),55-64,Age Group,591,32.1,"(34.520880952, -106.240580985)"
2014,OK,Oklahoma,Obese (BMI 30.0 - 99.8),18-24,Age Group,89,21.6,"(35.472031356, -97.521070214)"
2014,VT,Vermont,Obese (BMI 30.0 - 99.8),25-34,Age Group,130,22.4,"(43.625381239, -72.517640791)"
2014,LA,Louisiana,Overweight (BMI 25.0-29.9),55-64,Age Group,479,35.1,"(31.312660644, -92.445680071)"
2014,RI,Rhode Island,Obese (BMI 30.0 - 99.8),25-34,Age Group,98,24.8,"(41.708280193, -71.522470314)"
2014,IL,Illinois,Overweight (BMI 25.0-29.9),55-64,Age Group,356,34.4,"(40.485010283, -88.997710178)"
2014,NM,New Mexico,Obese (BMI 30.0 - 99.8),45-54,Age Group,449,31.2,"(34.520880952, -106.240580985)"
2014,MN,Minnesota,Obese (BMI 30.0 - 99.8),65+,Age Group,1188,28.5,"(46.355648736, -94.794200503)"
2014,ME,Maine,Overweight (BMI 25.0-29.9),65+,Age Group,1271,40.8,"(45.254228894001, -68.985031336)"
2014,NJ,New Jersey,Overweight (BMI 25.0-29.9),45-54,Age Group,888,39.3,"(40.130570048, -74.273691288)"
2014,FL,Florida,Obese (BMI 30.0 - 99.8),25-34,Age Group,163,24.3,"(28.932040377, -81.928960539)"
2014,PA,Pennsylvania,Obese (BMI 30.0 - 99.8),35-44,Age Group,381,34.8,"(40.793730152, -77.860700294)"
2014,NY,New York,Obese (BMI 30.0 - 99.8),55-64,Age Group,418,32.3,"(42.827001032, -75.543970427)"
2014,KS,Kansas,Obese (BMI 30.0 - 99.8),18-24,Age Group,130,15.2,"(38.3477403, -98.200781227)"
2014,WV,West Virginia,Obese (BMI 30.0 - 99.8),25-34,Age Group,180,35.3,"(38.665510202, -80.712640135)"
2014,IL,Illinois,Overweight (BMI 25.0-29.9),45-54,Age Group,330,37.2,"(40.485010283, -88.997710178)"
2014,UT,Utah,Obese (BMI 30.0 - 99.8),35-44,Age Group,713,29.2,"(39.360700171, -111.587130635)"
2014,TN,Tennessee,Overweight (BMI 25.0-29.9),45-54,Age Group,250,33.7,"(35.68094058, -85.774490914)"
2014,SC,South Carolina,Overweight (BMI 25.0-29.9),45-54,Age Group,565,35.5,"(33.998821303, -81.045371207)"
2014,MD,Maryland,Overweight (BMI 25.0-29.9),35-44,Age Group,448,36.8,"(39.290580964, -76.609260111)"
2014,FL,Florida,Obese (BMI 30.0 - 99.8),55-64,Age Group,548,28.4,"(28.932040377, -81.928960539)"
2014,GA,Georgia,Overweight (BMI 25.0-29.9),45-54,Age Group,358,36.7,"(32.839681093, -83.627580346)"
2014,NM,New Mexico,Overweight (BMI 25.0-29.9),35-44,Age Group,332,36.8,"(34.520880952, -106.240580985)"
2014,NM,New Mexico,Overweight (BMI 25.0-29.9),25-34,Age Group,251,33.6,"(34.520880952, -106.240580985)"
2014,NC,North Carolina,Overweight (BMI 25.0-29.9),35-44,Age Group,309,36.2,"(35.466220975, -79.159250463)"
2014,NV,Nevada,Obese (BMI 30.0 - 99.8),35-44,Age Group,143,36.8,"(39.49324039, -117.071840564)"
2014,SD,South Dakota,Obese (BMI 30.0 - 99.8),18-24,Age Group,61,15.8,"(44.353130053, -100.373530637)"
2014,VT,Vermont,Overweight (BMI 25.0-29.9),65+,Age Group,698,41.0,"(43.625381239, -72.517640791)"
2014,DE,Delaware,Obese (BMI 30.0 - 99.8),45-54,Age Group,242,36.4,"(39.008830667, -75.577741168)"
2014,MT,Montana,Obese (BMI 30.0 - 99.8),18-24,Age Group,59,16.5,"(47.066528972, -109.424420645)"
2014,MT,Montana,Overweight (BMI 25.0-29.9),45-54,Age Group,418,40.1,"(47.066528972, -109.424420645)"
2014,NE,Nebraska,Obese (BMI 30.0 - 99.8),65+,Age Group,2157,28.6,"(41.641040988001, -99.365720623)"
2014,KS,Kansas,Overweight (BMI 25.0-29.9),25-34,Age Group,451,33.6,"(38.3477403, -98.200781227)"
2014,NE,Nebraska,Overweight (BMI 25.0-29.9),18-24,Age Group,346,28.9,"(41.641040988001, -99.365720623)"
